titulo,desarrollador,descripcion,anio_de_lanzamiento,calificacion,plataformas,genero
The Legend of Zelda: Breath of the Wild,Nintendo,Explora un mundo abierto lleno de desafios y misterios en esta iconica entrega de Zelda.,2017,9.7,Nintendo Switch;Wii U,Accion-Aventura
Super Mario Odyssey,Nintendo,Acompana a Mario en una aventura global para rescatar a la Princesa Peach.,2017,9.5,Nintendo Switch,Plataformas
The Witcher 3: Wild Hunt,CD Projekt Red,Vive una epica aventura de caza de monstruos en un mundo fantastico lleno de intrigas.,2015,9.8,PC;PS4;Xbox One;Nintendo Switch,RPG;Accion
Red Dead Redemption 2,Rockstar Games,Sumergite en el salvaje oeste en una narrativa impresionante y un mundo inmersivo.,2018,9.6,PC;PS4;Xbox One,Accion-Aventura
Minecraft,Mojang,"Crea, explora y sobrevive en un mundo generado por bloques.",2011,9,PC;PS4;Xbox One;Nintendo Switch;Movil,Sandbox;Supervivencia
Fortnite,Epic Games,Competi en intensos enfrentamientos en este fenomeno del Battle Royale.,2017,8.5,PC;PS4;Xbox One;Nintendo Switch;Movil,Battle Royale
Cyberpunk 2077,CD Projekt Red,Sumergite en un futuro distopico lleno de accion y dilemas morales.,2020,7.8,PC;PS4;Xbox One;PS5;Xbox Series X/S,RPG;Accion
Among Us,InnerSloth,Descubri al impostor en este popular juego de deduccion social.,2018,7,PC;Movil;Nintendo Switch,Multijugador;Party Game
God of War,Santa Monica Studio,Kratos regresa con una aventura emocional junto a su hijo en la mitologia nordica.,2018,9.6,PS4;PS5,Accion;Aventura
Ghost of Tsushima,Sucker Punch,Conviertete en un samurai para defender tu isla de la invasion mongola.,2020,9.2,PS4;PS5,Accion;Aventura
Hollow Knight,Team Cherry,"Explora un mundo subterraneo lleno de secretos, enemigos y desafios.",2017,9.3,PC;Switch;PS4;Xbox One,Metroidvania;Plataformas
Doom Eternal,id Software,Enfrenta hordas demoniacas con una jugabilidad frenetica y brutal.,2020,9,PC;PS4;Xbox One;Switch,Shooter;Accion
Sekiro: Shadows Die Twice,FromSoftware,Domina el arte del sigilo y el combate en el Japon feudal.,2019,9.5,PC;PS4;Xbox One,Accion;Aventura
Resident Evil 2 Remake,Capcom,Revive el clasico de terror con graficos y mecanicas modernizadas.,2019,9,PC;PS4;Xbox One,Survival Horror
Celeste,Matt Makes Games,Ayuda a Madeline a escalar una montana enfrentando desafios internos y externos.,2018,9.2,PC;PS4;Xbox One;Switch,Plataformas
Cuphead,Studio MDHR,Desafia jefes con un estilo visual inspirado en dibujos animados de los años 30.,2017,9.1,PC;Xbox One;Switch;PS4,Plataformas;Shoot 'em up
Control,Remedy Entertainment,Explora una agencia secreta y desbloquea poderes sobrenaturales en un entorno misterioso.,2019,8.8,PC;PS4;Xbox One,Accion;Aventura
The Outer Worlds,Obsidian Entertainment,Viaja entre planetas y toma decisiones que afectan el destino del sistema Halcyon.,2019,8.5,PC;PS4;Xbox One;Switch,RPG;Ciencia Ficcion
It Takes Two,Hazelight Studios,Una experiencia cooperativa unica para dos jugadores en una historia sobre relaciones.,2021,9.3,PC;PS4;PS5;Xbox,Cooperativo;Aventura
Little Nightmares II,Tarsier Studios,Adentrate en un mundo oscuro y surrealista lleno de criaturas siniestras.,2021,8.7,PC;PS4;PS5;Xbox;Switch,Terror;Plataformas
Ori and the Will of the Wisps,Moon Studios,Una historia emocional combinada con una jugabilidad precisa y visuales impresionantes.,2020,9.4,PC;Xbox One;Switch,Metroidvania;Plataformas
A Plague Tale: Innocence,Asobo Studio,Sigue a dos hermanos tratando de sobrevivir a la Peste Negra y la Inquisicion.,2019,7.5,PC;PS4;Xbox One,Accion;Aventura;Sigilo
Death Stranding,Kojima Productions,Reconecta un mundo fragmentado en esta experiencia cinematografica unica.,2019,8.6,PC;PS4;PS5,Aventura;Misterio
Nier: Automata,PlatinumGames,Descubre una historia profunda y jugabilidad fluida en un futuro postapocaliptico.,2017,9,PC;PS4;Xbox One,RPG;Accion
Firewatch,Campo Santo,Un relato envolvente sobre soledad y misterio en un bosque de Wyoming.,2016,8.2,PC;PS4;Xbox One;Switch,Aventura;Narrativo
Journey,Thatgamecompany,Una experiencia poetica y visualmente impresionante sin dialogos.,2012,9.2,PS3;PS4;PC,Aventura;Exploracion
Inside,Playdead,Un juego oscuro y minimalista lleno de tension y sorpresas.,2016,9,PC;PS4;Xbox One;Switch,Plataformas;Puzzle
Slay the Spire,MegaCrit,Test actualizacion,2019,8.9,PC;PS4;Switch;Xbox One,Cartas;Roguelike
